mode,cyc,S,A0,A1,X,a31o_X,sticky_Q
I1_@5,103,0,1,0,1,1,1
I1_@5,104,0,1,0,1,1,1
I1_@5,105,0,1,0,1,1,1
I1_@5,106,0,1,0,1,1,1
I1_@5,107,0,1,0,1,1,1
I1_@5,108,0,1,0,1,1,1
I1_@5,109,0,1,0,1,1,1
I1_@5,110,0,1,0,1,1,1
I1_@5,111,0,1,0,1,1,1
I1_@5,112,0,1,0,1,1,1
I1_@5,113,0,1,0,1,1,1
I1_@5,114,0,1,0,1,1,1
I1_@5,115,0,1,0,1,1,1
I1_@5,116,0,1,0,1,1,1
I1_@5,117,0,1,0,1,1,1
I1_@5,118,0,1,0,1,1,1
I1_@5,119,0,1,0,1,1,1
I1_@5,120,0,1,0,1,1,1
I1_@6,0,0,1,0,1,0,0
I1_@6,1,0,1,0,1,0,0
I1_@6,2,0,1,0,1,0,0
I1_@6,3,0,1,0,1,0,0
I1_@6,4,0,1,0,1,0,0
I1_@6,5,0,1,0,1,0,0
I1_@6,6,0,1,1,1,0,0
I1_@6,7,0,1,1,1,0,0
I1_@6,8,0,1,1,1,0,0
I1_@6,9,0,1,1,1,0,0
I1_@6,10,0,1,1,1,1,0
I1_@6,11,0,1,0,1,1,1
I1_@6,12,0,1,0,1,1,1
I1_@6,13,0,1,0,1,1,1
I1_@6,14,0,1,0,1,1,1
I1_@6,15,0,1,0,1,1,1
I1_@6,16,0,1,0,1,1,1
I1_@6,17,0,1,0,1,1,1
I1_@6,18,0,1,0,1,1,1
I1_@6,19,0,1,0,1,1,1
I1_@6,20,0,1,0,1,1,1
I1_@6,21,0,1,0,1,1,1
I1_@6,22,0,1,0,1,1,1
I1_@6,23,0,1,0,1,1,1
I1_@6,24,0,1,0,1,1,1
I1_@6,25,0,1,0,1,1,1
I1_@6,26,0,1,0,1,1,1
I1_@6,27,0,1,0,1,1,1
I1_@6,28,0,1,0,1,1,1
I1_@6,29,0,1,0,1,1,1
I1_@6,30,0,1,0,1,1,1
I1_@6,31,0,1,0,1,1,1
I1_@6,32,0,1,0,1,1,1
I1_@6,33,0,1,0,1,1,1
I1_@6,34,0,1,0,1,1,1
I1_@6,35,0,1,0,1,1,1
I1_@6,36,0,1,0,1,1,1
I1_@6,37,0,1,0,1,1,1
I1_@6,38,0,1,0,1,1,1
I1_@6,39,0,1,0,1,1,1
I1_@6,40,0,1,0,1,1,1
I1_@6,41,0,1,0,1,1,1
I1_@6,42,0,1,0,1,1,1
I1_@6,43,0,1,0,1,1,1
I1_@6,44,0,1,0,1,1,1
I1_@6,45,0,1,0,1,1,1
I1_@6,46,0,1,0,1,1,1
I1_@6,47,0,1,0,1,1,1
I1_@6,48,0,1,0,1,1,1
I1_@6,49,0,1,0,1,1,1
I1_@6,50,0,1,0,1,1,1
I1_@6,51,0,1,0,1,1,1
I1_@6,52,0,1,0,1,1,1
I1_@6,53,0,1,0,1,1,1
I1_@6,54,0,1,0,1,1,1
I1_@6,55,0,1,0,1,1,1
I1_@6,56,0,1,0,1,1,1
I1_@6,57,0,1,0,1,1,1
I1_@6,58,0,1,0,1,1,1
I1_@6,59,0,1,0,1,1,1
I1_@6,60,0,1,0,1,1,1
I1_@6,61,0,1,0,1,1,1
I1_@6,62,0,1,0,1,1,1
I1_@6,63,0,1,0,1,1,1
I1_@6,64,0,1,0,1,1,1
I1_@6,65,0,1,0,1,1,1
I1_@6,66,0,1,0,1,1,1
I1_@6,67,0,1,0,1,1,1
I1_@6,68,0,1,0,1,1,1
I1_@6,69,0,1,0,1,1,1
I1_@6,70,0,1,0,1,1,1
I1_@6,71,0,1,0,1,1,1
I1_@6,72,0,1,0,1,1,1
I1_@6,73,0,1,0,1,1,1
I1_@6,74,0,1,0,1,1,1
I1_@6,75,0,1,0,1,1,1
I1_@6,76,0,1,0,1,1,1
I1_@6,77,0,1,0,1,1,1
I1_@6,78,0,1,0,1,1,1
I1_@6,79,0,1,0,1,1,1
I1_@6,80,0,1,0,1,1,1
I1_@6,81,0,1,0,1,1,1
I1_@6,82,0,1,0,1,1,1
I1_@6,83,0,1,0,1,1,1
I1_@6,84,0,1,0,1,1,1
I1_@6,85,0,1,0,1,1,1
I1_@6,86,0,1,0,1,1,1
I1_@6,87,0,1,0,1,1,1
I1_@6,88,0,1,0,1,1,1
I1_@6,89,0,1,0,1,1,1
I1_@6,90,0,1,0,1,1,1
I1_@6,91,0,1,0,1,1,1
I1_@6,92,0,1,0,1,1,1
I1_@6,93,0,1,0,1,1,1
I1_@6,94,0,1,0,1,1,1
I1_@6,95,0,1,0,1,1,1
I1_@6,96,0,1,0,1,1,1
I1_@6,97,0,1,0,1,1,1
I1_@6,98,0,1,0,1,1,1
